tp_id,node,indicator,unused,tech_type
148,4,1,0,31
149,4,1,0,32
150,4,1,0,33
151,4,1,0,34
152,4,1,0,35
153,4,1,0,36
154,4,1,0,37
155,4,1,0,38
156,4,1,0,39
157,5,1,0,1
158,5,1,0,2
159,5,1,0,3
160,5,1,0,4
161,5,1,0,5
162,5,1,0,6
163,5,1,0,7
164,5,1,0,8
165,5,1,0,9
166,5,1,0,10
167,5,1,0,11
168,5,1,0,12
169,5,1,0,13
170,5,1,0,14
171,5,1,0,15
172,5,1,0,16
173,5,1,0,17
174,5,1,0,18
175,5,1,0,19
176,5,1,0,20
177,5,1,0,21
178,5,1,0,22
179,5,1,0,23
180,5,1,0,24
181,5,1,0,25
182,5,1,0,26
183,5,1,0,27
184,5,1,0,28
185,5,1,0,29
186,5,1,0,30
187,5,1,0,31
188,5,1,0,32
189,5,1,0,33
190,5,1,0,34
191,5,1,0,35
192,5,1,0,36
193,5,1,0,37
194,5,1,0,38
195,5,1,0,39
196,6,1,0,1
197,6,1,0,2
198,6,1,0,3
199,6,1,0,4
200,6,1,0,5
201,6,1,0,6
202,6,1,0,7
203,6,1,0,8
204,6,1,0,9
205,6,1,0,10
206,6,1,0,11
207,6,1,0,12
208,6,1,0,13
209,6,1,0,14
210,6,1,0,15
211,6,1,0,16
212,6,1,0,17
213,6,1,0,18
214,6,1,0,19
215,6,1,0,20
216,6,1,0,21
217,6,1,0,22
218,6,1,0,23
219,6,1,0,24
220,6,1,0,25
221,6,1,0,26
222,6,1,0,27
223,6,1,0,28
224,6,1,0,29
225,6,1,0,30
226,6,1,0,31
227,6,1,0,32
228,6,1,0,33
229,6,1,0,34
230,6,1,0,35
231,6,1,0,36
232,6,1,0,37
233,6,1,0,38
234,6,1,0,39
235,7,1,0,1
236,7,1,0,2
237,7,1,0,3
238,7,1,0,4
239,7,1,0,5
240,7,1,0,6
241,7,1,0,7
242,7,1,0,8
243,7,1,0,9
244,7,1,0,10
245,7,1,0,11
246,7,1,0,12
247,7,1,0,13
248,7,1,0,14
249,7,1,0,15
250,7,1,0,16
251,7,1,0,17
252,7,1,0,18
253,7,1,0,19
254,7,1,0,20
255,7,1,0,21
256,7,1,0,22
257,7,1,0,23
258,7,1,0,24
259,7,1,0,25
260,7,1,0,26
261,7,1,0,27
262,7,1,0,28
263,7,1,0,29
264,7,1,0,30
265,7,1,0,31
266,7,1,0,32
267,7,1,0,33
268,7,1,0,34
269,7,1,0,35
270,7,1,0,36
271,7,1,0,37
272,7,1,0,38
273,7,1,0,39
274,8,1,0,1
275,8,1,0,2
276,8,1,0,3
277,8,1,0,4
278,8,1,0,5
279,8,1,0,6
280,8,1,0,7
281,8,1,0,8
282,8,1,0,9
283,8,1,0,10
284,8,1,0,11
285,8,1,0,12
286,8,1,0,13
287,8,1,0,14
288,8,1,0,15
289,8,1,0,16
290,8,1,0,17
291,8,1,0,18
292,8,1,0,19
293,8,1,0,20
294,8,1,0,21
295,8,1,0,22
296,8,1,0,23
297,8,1,0,24
298,8,1,0,25
299,8,1,0,26
300,8,1,0,27
301,8,1,0,28
302,8,1,0,29
303,8,1,0,30
304,8,1,0,31
305,8,1,0,32
306,8,1,0,33
307,8,1,0,34
308,8,1,0,35
309,8,1,0,36
310,8,1,0,37
311,8,1,0,38
312,8,1,0,39
313,9,1,0,1
314,9,1,0,2
315,9,1,0,3
316,9,1,0,4
317,9,1,0,5
318,9,1,0,6
319,9,1,0,7
320,9,1,0,8
321,9,1,0,9
322,9,1,0,10
323,9,1,0,11
324,9,1,0,12
325,9,1,0,13
326,9,1,0,14
327,9,1,0,15
328,9,1,0,16
329,9,1,0,17
330,9,1,0,18
331,9,1,0,19
332,9,1,0,20
333,9,1,0,21
334,9,1,0,22
335,9,1,0,23
336,9,1,0,24
337,9,1,0,25
338,9,1,0,26
339,9,1,0,27
340,9,1,0,28
341,9,1,0,29
342,9,1,0,30
343,9,1,0,31
344,9,1,0,32
345,9,1,0,33
346,9,1,0,34
347,9,1,0,35
348,9,1,0,36
349,9,1,0,37
350,9,1,0,38
351,9,1,0,39
352,10,1,0,1
353,10,1,0,2
354,10,1,0,3
355,10,1,0,4
356,10,1,0,5
357,10,1,0,6
358,10,1,0,7
359,10,1,0,8
360,10,1,0,9
361,10,1,0,10
362,10,1,0,11
363,10,1,0,12
364,10,1,0,13
365,10,1,0,14
366,10,1,0,15
367,10,1,0,16
368,10,1,0,17
369,10,1,0,18
370,10,1,0,19
371,10,1,0,20
372,10,1,0,21
373,10,1,0,22
374,10,1,0,23
375,10,1,0,24
376,10,1,0,25
377,10,1,0,26
378,10,1,0,27
379,10,1,0,28
380,10,1,0,29
381,10,1,0,30
382,10,1,0,31
383,10,1,0,32
384,10,1,0,33
385,10,1,0,34
386,10,1,0,35
387,10,1,0,36
388,10,1,0,37
389,10,1,0,38
390,10,1,0,39
391,11,1,0,1
392,11,1,0,2
393,11,1,0,3
394,11,1,0,4
395,11,1,0,5
396,11,1,0,6
397,11,1,0,7
398,11,1,0,8
399,11,1,0,9
400,11,1,0,10
