node,product,inherent_value
9,13,-0.0
10,1,47.30292991614468
10,2,-0.0
10,3,-0.0
10,4,-0.0
10,5,-0.0
10,6,-0.0
10,7,60.16253309684818
10,8,-0.0
10,9,-0.0
10,10,-0.0
10,11,-0.0
10,12,-0.0
10,13,-0.0
11,1,46.571165989781655
11,2,-0.0
11,3,-0.0
11,4,-0.0
11,5,-0.0
11,6,-0.0
11,7,28.936913732124907
11,8,-0.0
11,9,-0.0
11,10,-0.0
11,11,-0.0
11,12,-0.0
11,13,-0.0
12,1,38.62433706857961
12,2,-0.0
12,3,-0.0
12,4,-0.0
12,5,-0.0
12,6,-0.0
12,7,26.87625719513786
12,8,-0.0
12,9,-0.0
12,10,-0.0
12,11,-0.0
12,12,-0.0
12,13,-0.0
13,1,57.39944960469064
13,2,-0.0
13,3,-0.0
13,4,-0.0
13,5,-0.0
13,6,-0.0
13,7,22.26687474087325
13,8,-0.0
13,9,-0.0
13,10,-0.0
13,11,-0.0
13,12,-0.0
13,13,-0.0
14,1,56.82082979268172
14,2,-0.0
14,3,-0.0
14,4,-0.0
14,5,-0.0
14,6,-0.0
14,7,25.713965928991
14,8,-0.0
14,9,-0.0
14,10,-0.0
14,11,-0.0
14,12,-0.0
14,13,-0.0
15,1,25.722755328673962
15,2,-0.0
15,3,-0.0
15,4,-0.0
15,5,-0.0
15,6,-0.0
15,7,33.260091143046154
15,8,-0.0
15,9,-0.0
15,10,-0.0
15,11,-0.0
15,12,-0.0
15,13,-0.0
16,1,38.138510011608645
16,2,-0.0
16,3,-0.0
16,4,-0.0
16,5,-0.0
16,6,-0.0
16,7,28.300304730874014
16,8,-0.0
16,9,-0.0
16,10,-0.0
16,11,-0.0
16,12,-0.0
16,13,-0.0
17,1,51.70158038027698
17,2,-0.0
17,3,-0.0
17,4,-0.0
17,5,-0.0
17,6,-0.0
17,7,40.542582896981784
17,8,-0.0
17,9,-0.0
17,10,-0.0
17,11,-0.0
17,12,-0.0
17,13,-0.0
18,1,49.5
18,2,-0.0
18,3,-0.0
18,4,-0.0
18,5,-0.0
18,6,-0.0
18,7,48.144332374302884
18,8,-0.0
18,9,-0.0
18,10,-0.0
18,11,-0.0
18,12,-0.0
18,13,-0.0
19,1,25.457664351332834
19,2,-0.0
19,3,-0.0
19,4,-0.0
19,5,-0.0
19,6,-0.0
19,7,32.214099791049065
19,8,-0.0
19,9,-0.0
19,10,-0.0
19,11,-0.0
19,12,-0.0
19,13,-0.0
20,1,49.5
20,2,-0.0
20,3,-0.0
20,4,-0.0
20,5,-0.0
20,6,-0.0
20,7,28.61765333836309
20,8,-0.0
20,9,-0.0
20,10,-0.0
20,11,-0.0
20,12,-0.0
20,13,-0.0
21,1,33.76098109981828
21,2,-0.0
21,3,-0.0
21,4,-0.0
21,5,-0.0
21,6,-0.0
21,7,40.016348599827595
21,8,-0.0
21,9,-0.0
21,10,-0.0
21,11,-0.0
21,12,-0.0
21,13,-0.0
22,1,49.5
22,2,-0.0
22,3,-0.0
22,4,-0.0
22,5,-0.0
22,6,-0.0
22,7,20.960633638296613
22,8,-0.0
22,9,-0.0
22,10,-0.0
22,11,-0.0
22,12,-0.0
22,13,-0.0
23,1,49.5
23,2,-0.0
23,3,-0.0
23,4,-0.0
23,5,-0.0
23,6,-0.0
23,7,16.117514789907656
23,8,-0.0
23,9,-0.0
23,10,-0.0
23,11,-0.0
23,12,-0.0
23,13,-0.0
24,1,46.13419453507727
24,2,-0.0
24,3,-0.0
24,4,-0.0
24,5,-0.0
24,6,-0.0
24,7,36.40060118659545
24,8,-0.0
24,9,-0.0
24,10,-0.0
24,11,-0.0
24,12,-0.0
24,13,-0.0
25,1,44.60214891044588
25,2,-0.0
25,3,-0.0
25,4,-0.0
25,5,-0.0
25,6,-0.0
25,7,22.10411432203572
25,8,-0.0
25,9,-0.0
25,10,-0.0
25,11,-0.0
25,12,-0.0
25,13,-0.0
26,1,27.55106390887763
26,2,-0.0
26,3,-0.0
26,4,-0.0
26,5,-0.0
26,6,-0.0
26,7,29.505545288721613
26,8,-0.0
26,9,-0.0
26,10,-0.0
26,11,-0.0
26,12,-0.0
26,13,-0.0
