subclass_name,resource,fips,county,state,usdaregion,"County Square Miles",scenario_name,prod_source,price_offered,production_total,production_unit,production_energy_content,energy_content_unit,total_prod_density_dtpersqmi
FOG,"FOG, brown grease",55017,"Chippewa County",WI,"Lake States",1041.27,"mature-market low",wastes,426.67,416.00,dt,14144000000,BTU,0.40
FOG,"FOG, brown grease",55017,"Chippewa County",WI,"Lake States",1041.27,"mature-market medium",wastes,426.67,416.00,dt,14144000000,BTU,0.40
FOG,"FOG, brown grease",55017,"Chippewa County",WI,"Lake States",1041.27,near-term,wastes,426.67,432.00,dt,14688000000,BTU,0.41
FOG,"FOG, brown grease",55019,"Clark County",WI,"Lake States",1218.67,Emerging,wastes,446.87,172.00,dt,5848000000,BTU,0.14
FOG,"FOG, brown grease",55019,"Clark County",WI,"Lake States",1218.67,"mature-market high",wastes,446.87,172.00,dt,5848000000,BTU,0.14
FOG,"FOG, brown grease",55019,"Clark County",WI,"Lake States",1218.67,"mature-market low",wastes,426.67,172.00,dt,5848000000,BTU,0.14
FOG,"FOG, brown grease",55019,"Clark County",WI,"Lake States",1218.67,"mature-market medium",wastes,426.67,172.00,dt,5848000000,BTU,0.14
FOG,"FOG, brown grease",55019,"Clark County",WI,"Lake States",1218.67,near-term,wastes,426.67,232.00,dt,7888000000,BTU,0.19
FOG,"FOG, brown grease",55021,"Columbia County",WI,"Lake States",795.99,Emerging,wastes,446.87,339.00,dt,11526000000,BTU,0.43
FOG,"FOG, brown grease",55021,"Columbia County",WI,"Lake States",795.99,"mature-market high",wastes,446.87,339.00,dt,11526000000,BTU,0.43
FOG,"FOG, brown grease",55021,"Columbia County",WI,"Lake States",795.99,"mature-market low",wastes,426.67,339.00,dt,11526000000,BTU,0.43
FOG,"FOG, brown grease",55021,"Columbia County",WI,"Lake States",795.99,"mature-market medium",wastes,426.67,339.00,dt,11526000000,BTU,0.43
FOG,"FOG, brown grease",55021,"Columbia County",WI,"Lake States",795.99,near-term,wastes,426.67,385.00,dt,13090000000,BTU,0.48
FOG,"FOG, brown grease",55023,"Crawford County",WI,"Lake States",599.21,Emerging,wastes,446.87,89.00,dt,3026000000,BTU,0.15
FOG,"FOG, brown grease",55023,"Crawford County",WI,"Lake States",599.21,"mature-market high",wastes,446.87,89.00,dt,3026000000,BTU,0.15
FOG,"FOG, brown grease",55023,"Crawford County",WI,"Lake States",599.21,"mature-market low",wastes,426.67,89.00,dt,3026000000,BTU,0.15
FOG,"FOG, brown grease",55023,"Crawford County",WI,"Lake States",599.21,"mature-market medium",wastes,426.67,89.00,dt,3026000000,BTU,0.15
FOG,"FOG, brown grease",55023,"Crawford County",WI,"Lake States",599.21,near-term,wastes,426.67,108.00,dt,3672000000,BTU,0.18
FOG,"FOG, brown grease",55025,"Dane County",WI,"Lake States",1237.5,Emerging,wastes,446.87,5618.00,dt,191012000000,BTU,4.54
FOG,"FOG, brown grease",55025,"Dane County",WI,"Lake States",1237.5,"mature-market high",wastes,446.87,5618.00,dt,191012000000,BTU,4.54
FOG,"FOG, brown grease",55025,"Dane County",WI,"Lake States",1237.5,"mature-market low",wastes,426.67,5618.00,dt,191012000000,BTU,4.54
FOG,"FOG, brown grease",55025,"Dane County",WI,"Lake States",1237.5,"mature-market medium",wastes,426.67,5618.00,dt,191012000000,BTU,4.54
FOG,"FOG, brown grease",55025,"Dane County",WI,"Lake States",1237.5,near-term,wastes,426.67,3655.00,dt,124270000000,BTU,2.95
FOG,"FOG, brown grease",55027,"Dodge County",WI,"Lake States",907.1,Emerging,wastes,446.87,540.00,dt,18360000000,BTU,0.60
FOG,"FOG, brown grease",55027,"Dodge County",WI,"Lake States",907.1,"mature-market high",wastes,446.87,540.00,dt,18360000000,BTU,0.60
FOG,"FOG, brown grease",55027,"Dodge County",WI,"Lake States",907.1,"mature-market low",wastes,426.67,540.00,dt,18360000000,BTU,0.60
FOG,"FOG, brown grease",55027,"Dodge County",WI,"Lake States",907.1,"mature-market medium",wastes,426.67,540.00,dt,18360000000,BTU,0.60
FOG,"FOG, brown grease",55027,"Dodge County",WI,"Lake States",907.1,near-term,wastes,426.67,587.00,dt,19958000000,BTU,0.65
FOG,"FOG, brown grease",55029,"Door County",WI,"Lake States",487.56,Emerging,wastes,446.87,155.00,dt,5270000000,BTU,0.32
FOG,"FOG, brown grease",55029,"Door County",WI,"Lake States",487.56,"mature-market high",wastes,446.87,155.00,dt,5270000000,BTU,0.32
FOG,"FOG, brown grease",55029,"Door County",WI,"Lake States",487.56,"mature-market low",wastes,426.67,155.00,dt,5270000000,BTU,0.32
FOG,"FOG, brown grease",55029,"Door County",WI,"Lake States",487.56,"mature-market medium",wastes,426.67,155.00,dt,5270000000,BTU,0.32
FOG,"FOG, brown grease",55029,"Door County",WI,"Lake States",487.56,near-term,wastes,426.67,185.00,dt,6290000000,BTU,0.38
FOG,"FOG, brown grease",55031,"Douglas County",WI,"Lake States",1332.11,Emerging,wastes,446.87,227.00,dt,7718000000,BTU,0.17
FOG,"FOG, brown grease",55031,"Douglas County",WI,"Lake States",1332.11,"mature-market high",wastes,446.87,227.00,dt,7718000000,BTU,0.17
FOG,"FOG, brown grease",55031,"Douglas County",WI,"Lake States",1332.11,"mature-market low",wastes,426.67,227.00,dt,7718000000,BTU,0.17
FOG,"FOG, brown grease",55031,"Douglas County",WI,"Lake States",1332.11,"mature-market medium",wastes,426.67,227.00,dt,7718000000,BTU,0.17
FOG,"FOG, brown grease",55031,"Douglas County",WI,"Lake States",1332.11,near-term,wastes,426.67,288.00,dt,9792000000,BTU,0.22
FOG,"FOG, brown grease",55033,"Dunn County",WI,"Lake States",863.89,Emerging,wastes,446.87,301.00,dt,10234000000,BTU,0.35
FOG,"FOG, brown grease",55033,"Dunn County",WI,"Lake States",863.89,"mature-market high",wastes,446.87,301.00,dt,10234000000,BTU,0.35
FOG,"FOG, brown grease",55033,"Dunn County",WI,"Lake States",863.89,"mature-market low",wastes,426.67,301.00,dt,10234000000,BTU,0.35
FOG,"FOG, brown grease",55033,"Dunn County",WI,"Lake States",863.89,"mature-market medium",wastes,426.67,301.00,dt,10234000000,BTU,0.35
FOG,"FOG, brown grease",55033,"Dunn County",WI,"Lake States",863.89,near-term,wastes,426.67,303.00,dt,10302000000,BTU,0.35
FOG,"FOG, brown grease",55035,"Eau Claire County",WI,"Lake States",645.2,Emerging,wastes,446.87,838.00,dt,28492000000,BTU,1.30
FOG,"FOG, brown grease",55035,"Eau Claire County",WI,"Lake States",645.2,"mature-market high",wastes,446.87,838.00,dt,28492000000,BTU,1.30
FOG,"FOG, brown grease",55035,"Eau Claire County",WI,"Lake States",645.2,"mature-market low",wastes,426.67,838.00,dt,28492000000,BTU,1.30
FOG,"FOG, brown grease",55035,"Eau Claire County",WI,"Lake States",645.2,"mature-market medium",wastes,426.67,838.00,dt,28492000000,BTU,1.30
FOG,"FOG, brown grease",55035,"Eau Claire County",WI,"Lake States",645.2,near-term,wastes,426.67,700.00,dt,23800000000,BTU,1.08
FOG,"FOG, brown grease",55037,"Florence County",WI,"Lake States",497.43,Emerging,wastes,446.87,26.00,dt,884000000,BTU,0.05
FOG,"FOG, brown grease",55037,"Florence County",WI,"Lake States",497.43,"mature-market high",wastes,446.87,26.00,dt,884000000,BTU,0.05
FOG,"FOG, brown grease",55037,"Florence County",WI,"Lake States",497.43,"mature-market low",wastes,426.67,26.00,dt,884000000,BTU,0.05
FOG,"FOG, brown grease",55037,"Florence County",WI,"Lake States",497.43,"mature-market medium",wastes,426.67,26.00,dt,884000000,BTU,0.05
FOG,"FOG, brown grease",55037,"Florence County",WI,"Lake States",497.43,near-term,wastes,426.67,29.00,dt,986000000,BTU,0.06
FOG,"FOG, brown grease",55039,"Fond du Lac County",WI,"Lake States",765.84,Emerging,wastes,446.87,641.00,dt,21794000000,BTU,0.84
FOG,"FOG, brown grease",55039,"Fond du Lac County",WI,"Lake States",765.84,"mature-market high",wastes,446.87,641.00,dt,21794000000,BTU,0.84
FOG,"FOG, brown grease",55039,"Fond du Lac County",WI,"Lake States",765.84,"mature-market low",wastes,426.67,641.00,dt,21794000000,BTU,0.84
FOG,"FOG, brown grease",55039,"Fond du Lac County",WI,"Lake States",765.84,"mature-market medium",wastes,426.67,641.00,dt,21794000000,BTU,0.84
FOG,"FOG, brown grease",55039,"Fond du Lac County",WI,"Lake States",765.84,near-term,wastes,426.67,691.00,dt,23494000000,BTU,0.90
FOG,"FOG, brown grease",55041,"Forest County",WI,"Lake States",1046.52,Emerging,wastes,446.87,41.00,dt,1394000000,BTU,0.04
FOG,"FOG, brown grease",55041,"Forest County",WI,"Lake States",1046.52,"mature-market high",wastes,446.87,41.00,dt,1394000000,BTU,0.04
FOG,"FOG, brown grease",55041,"Forest County",WI,"Lake States",1046.52,"mature-market low",wastes,426.67,41.00,dt,1394000000,BTU,0.04
FOG,"FOG, brown grease",55041,"Forest County",WI,"Lake States",1046.52,"mature-market medium",wastes,426.67,41.00,dt,1394000000,BTU,0.04
FOG,"FOG, brown grease",55041,"Forest County",WI,"Lake States",1046.52,near-term,wastes,426.67,60.00,dt,2040000000,BTU,0.06
FOG,"FOG, brown grease",55043,"Grant County",WI,"Lake States",1183.37,Emerging,wastes,446.87,394.00,dt,13396000000,BTU,0.33
FOG,"FOG, brown grease",55043,"Grant County",WI,"Lake States",1183.37,"mature-market high",wastes,446.87,394.00,dt,13396000000,BTU,0.33
FOG,"FOG, brown grease",55043,"Grant County",WI,"Lake States",1183.37,"mature-market low",wastes,426.67,394.00,dt,13396000000,BTU,0.33
FOG,"FOG, brown grease",55043,"Grant County",WI,"Lake States",1183.37,"mature-market medium",wastes,426.67,394.00,dt,13396000000,BTU,0.33
FOG,"FOG, brown grease",55043,"Grant County",WI,"Lake States",1183.37,near-term,wastes,426.67,344.00,dt,11696000000,BTU,0.29
FOG,"FOG, brown grease",55045,"Green County",WI,"Lake States",584.55,Emerging,wastes,446.87,237.00,dt,8058000000,BTU,0.41
FOG,"FOG, brown grease",55045,"Green County",WI,"Lake States",584.55,"mature-market high",wastes,446.87,237.00,dt,8058000000,BTU,0.41
FOG,"FOG, brown grease",55045,"Green County",WI,"Lake States",584.55,"mature-market low",wastes,426.67,237.00,dt,8058000000,BTU,0.41
FOG,"FOG, brown grease",55045,"Green County",WI,"Lake States",584.55,"mature-market medium",wastes,426.67,237.00,dt,8058000000,BTU,0.41
FOG,"FOG, brown grease",55045,"Green County",WI,"Lake States",584.55,near-term,wastes,426.67,247.00,dt,8398000000,BTU,0.42
FOG,"FOG, brown grease",55047,"Green Lake County",WI,"Lake States",380.13,Emerging,wastes,446.87,106.00,dt,3604000000,BTU,0.28
FOG,"FOG, brown grease",55047,"Green Lake County",WI,"Lake States",380.13,"mature-market high",wastes,446.87,106.00,dt,3604000000,BTU,0.28
FOG,"FOG, brown grease",55047,"Green Lake County",WI,"Lake States",380.13,"mature-market low",wastes,426.67,106.00,dt,3604000000,BTU,0.28
FOG,"FOG, brown grease",55047,"Green Lake County",WI,"Lake States",380.13,"mature-market medium",wastes,426.67,106.00,dt,3604000000,BTU,0.28
FOG,"FOG, brown grease",55047,"Green Lake County",WI,"Lake States",380.13,near-term,wastes,426.67,126.00,dt,4284000000,BTU,0.33
FOG,"FOG, brown grease",55049,"Iowa County",WI,"Lake States",768.05,Emerging,wastes,446.87,137.00,dt,4658000000,BTU,0.18
FOG,"FOG, brown grease",55049,"Iowa County",WI,"Lake States",768.05,"mature-market high",wastes,446.87,137.00,dt,4658000000,BTU,0.18
FOG,"FOG, brown grease",55049,"Iowa County",WI,"Lake States",768.05,"mature-market low",wastes,426.67,137.00,dt,4658000000,BTU,0.18
FOG,"FOG, brown grease",55049,"Iowa County",WI,"Lake States",768.05,"mature-market medium",wastes,426.67,137.00,dt,4658000000,BTU,0.18
FOG,"FOG, brown grease",55049,"Iowa County",WI,"Lake States",768.05,near-term,wastes,426.67,158.00,dt,5372000000,BTU,0.21
FOG,"FOG, brown grease",55051,"Iron County",WI,"Lake States",802.62,Emerging,wastes,446.87,29.00,dt,986000000,BTU,0.04
FOG,"FOG, brown grease",55051,"Iron County",WI,"Lake States",802.62,"mature-market high",wastes,446.87,29.00,dt,986000000,BTU,0.04
FOG,"FOG, brown grease",55051,"Iron County",WI,"Lake States",802.62,"mature-market low",wastes,426.67,29.00,dt,986000000,BTU,0.04
FOG,"FOG, brown grease",55051,"Iron County",WI,"Lake States",802.62,"mature-market medium",wastes,426.67,29.00,dt,986000000,BTU,0.04
FOG,"FOG, brown grease",55051,"Iron County",WI,"Lake States",802.62,near-term,wastes,426.67,38.00,dt,1292000000,BTU,0.05
FOG,"FOG, brown grease",55053,"Jackson County",WI,"Lake States",1000.48,Emerging,wastes,446.87,128.00,dt,4352000000,BTU,0.13
FOG,"FOG, brown grease",55053,"Jackson County",WI,"Lake States",1000.48,"mature-market high",wastes,446.87,128.00,dt,4352000000,BTU,0.13
FOG,"FOG, brown grease",55053,"Jackson County",WI,"Lake States",1000.48,"mature-market low",wastes,426.67,128.00,dt,4352000000,BTU,0.13
FOG,"FOG, brown grease",55053,"Jackson County",WI,"Lake States",1000.48,"mature-market medium",wastes,426.67,128.00,dt,4352000000,BTU,0.13
FOG,"FOG, brown grease",55053,"Jackson County",WI,"Lake States",1000.48,near-term,wastes,426.67,138.00,dt,4692000000,BTU,0.14
FOG,"FOG, brown grease",55055,"Jefferson County",WI,"Lake States",582.74,Emerging,wastes,446.87,547.00,dt,18598000000,BTU,0.94
FOG,"FOG, brown grease",55055,"Jefferson County",WI,"Lake States",582.74,"mature-market high",wastes,446.87,547.00,dt,18598000000,BTU,0.94
