class,material_class,subclass,resource_name,diacls,owner,fips,county,state,"County Square Miles",scenario_name,scenario_price_offered,production,productionunit,production_energy_content,energy_content_unit,prod_density_dtpersqmi,harvest_costs,harvest_area,harv_area_unit,lipid_based,ash_percentage
forestland,wood,"Forest processing waste","Hardwood processing residues",,,55141,"Wood County",Wisconsin,809.25,"mature-market low",54,6116.08,dt,111434886500,BTU,7.56,0.0,0.0,,No,1.17
forestland,wood,"Forest processing waste","Hardwood processing residues",,,55141,"Wood County",Wisconsin,809.25,"mature-market medium",54,6116.08,dt,111434886500,BTU,7.56,0.0,0.0,,No,1.17
forestland,wood,"Forest processing waste","Hardwood processing residues",,,55141,"Wood County",Wisconsin,809.25,near-term,54,6116.08,dt,111434886500,BTU,7.56,0.0,0.0,,No,1.17
forestland,wood,"Forest processing waste","Softwood processing residues",,,55005,"Barron County",Wisconsin,889.76,Emerging,54,6.57,dt,119705400,BTU,0.01,0.0,0.0,,No,1.17
forestland,wood,"Forest processing waste","Softwood processing residues",,,55005,"Barron County",Wisconsin,889.76,"mature-market high",54,6.57,dt,119705400,BTU,0.01,0.0,0.0,,No,1.17
forestland,wood,"Forest processing waste","Softwood processing residues",,,55005,"Barron County",Wisconsin,889.76,"mature-market low",54,6.57,dt,119705400,BTU,0.01,0.0,0.0,,No,1.17
forestland,wood,"Forest processing waste","Softwood processing residues",,,55005,"Barron County",Wisconsin,889.76,"mature-market medium",54,6.57,dt,119705400,BTU,0.01,0.0,0.0,,No,1.17
forestland,wood,"Forest processing waste","Softwood processing residues",,,55005,"Barron County",Wisconsin,889.76,near-term,54,6.57,dt,119705400,BTU,0.01,0.0,0.0,,No,1.17
forestland,wood,"Forest processing waste","Softwood processing residues",,,55009,"Brown County",Wisconsin,531.24,Emerging,54,37.61,dt,685254200,BTU,0.07,0.0,0.0,,No,1.17
forestland,wood,"Forest processing waste","Softwood processing residues",,,55009,"Brown County",Wisconsin,531.24,"mature-market high",54,37.61,dt,685254200,BTU,0.07,0.0,0.0,,No,1.17
forestland,wood,"Forest processing waste","Softwood processing residues",,,55009,"Brown County",Wisconsin,531.24,"mature-market low",54,37.61,dt,685254200,BTU,0.07,0.0,0.0,,No,1.17
forestland,wood,"Forest processing waste","Softwood processing residues",,,55009,"Brown County",Wisconsin,531.24,"mature-market medium",54,37.61,dt,685254200,BTU,0.07,0.0,0.0,,No,1.17
forestland,wood,"Forest processing waste","Softwood processing residues",,,55009,"Brown County",Wisconsin,531.24,near-term,54,37.61,dt,685254200,BTU,0.07,0.0,0.0,,No,1.17
forestland,wood,"Forest processing waste","Softwood processing residues",,,55041,"Forest County",Wisconsin,1046.52,Emerging,54,5.98,dt,108955600,BTU,0.01,0.0,0.0,,No,1.17
forestland,wood,"Forest processing waste","Softwood processing residues",,,55041,"Forest County",Wisconsin,1046.52,"mature-market high",54,5.98,dt,108955600,BTU,0.01,0.0,0.0,,No,1.17
forestland,wood,"Forest processing waste","Softwood processing residues",,,55041,"Forest County",Wisconsin,1046.52,"mature-market low",54,5.98,dt,108955600,BTU,0.01,0.0,0.0,,No,1.17
forestland,wood,"Forest processing waste","Softwood processing residues",,,55041,"Forest County",Wisconsin,1046.52,"mature-market medium",54,5.98,dt,108955600,BTU,0.01,0.0,0.0,,No,1.17
forestland,wood,"Forest processing waste","Softwood processing residues",,,55041,"Forest County",Wisconsin,1046.52,near-term,54,5.98,dt,108955600,BTU,0.01,0.0,0.0,,No,1.17
forestland,wood,"Forest processing waste","Softwood processing residues",,,55051,"Iron County",Wisconsin,802.62,Emerging,54,33.83,dt,616382600,BTU,0.04,0.0,0.0,,No,1.17
forestland,wood,"Forest processing waste","Softwood processing residues",,,55051,"Iron County",Wisconsin,802.62,"mature-market high",54,33.83,dt,616382600,BTU,0.04,0.0,0.0,,No,1.17
forestland,wood,"Forest processing waste","Softwood processing residues",,,55051,"Iron County",Wisconsin,802.62,"mature-market low",54,33.83,dt,616382600,BTU,0.04,0.0,0.0,,No,1.17
forestland,wood,"Forest processing waste","Softwood processing residues",,,55051,"Iron County",Wisconsin,802.62,"mature-market medium",54,33.83,dt,616382600,BTU,0.04,0.0,0.0,,No,1.17
forestland,wood,"Forest processing waste","Softwood processing residues",,,55051,"Iron County",Wisconsin,802.62,near-term,54,33.83,dt,616382600,BTU,0.04,0.0,0.0,,No,1.17
forestland,wood,"Forest processing waste","Softwood processing residues",,,55075,"Marinette County",Wisconsin,1429.25,Emerging,54,131.73,dt,2400029500,BTU,0.09,0.0,0.0,,No,1.17
forestland,wood,"Forest processing waste","Softwood processing residues",,,55075,"Marinette County",Wisconsin,1429.25,"mature-market high",54,131.73,dt,2400029500,BTU,0.09,0.0,0.0,,No,1.17
forestland,wood,"Forest processing waste","Softwood processing residues",,,55075,"Marinette County",Wisconsin,1429.25,"mature-market low",54,131.73,dt,2400029500,BTU,0.09,0.0,0.0,,No,1.17
forestland,wood,"Forest processing waste","Softwood processing residues",,,55075,"Marinette County",Wisconsin,1429.25,"mature-market medium",54,131.73,dt,2400029500,BTU,0.09,0.0,0.0,,No,1.17
forestland,wood,"Forest processing waste","Softwood processing residues",,,55075,"Marinette County",Wisconsin,1429.25,near-term,54,131.73,dt,2400029500,BTU,0.09,0.0,0.0,,No,1.17
forestland,wood,"Forest processing waste","Softwood processing residues",,,55077,"Marquette County",Wisconsin,464.47,Emerging,54,19.90,dt,362486900,BTU,0.04,0.0,0.0,,No,1.17
