class,subclass,resource,fips,county,state_name,usdaregion,"County Square Miles",model_name,scenario_name,price_offered,production,production_unit,btu_ton,production_energy_content,energy_content_unit,production_density_dtpersqmi,landsource
"agriculture land","Agricultural residues","Wheat straw",55001,"Adams County",Wisconsin,"Lake States",687.48,POLYSYS,emerging,70,0.00,dt,14892000,0,BTU,0.00,Crop
"agriculture land","Agricultural residues","Wheat straw",55027,"Dodge County",Wisconsin,"Lake States",907.1,POLYSYS,"mature-market low",70,0.00,dt,14892000,0,BTU,0.00,Crop
"agriculture land","Energy crops, herbaceous",Miscanthus,55085,"Oneida County",Wisconsin,"Lake States",1236.57,POLYSYS,"mature-market high",70,11755.00,dt,16660000,195838300000,BTU,9.51,Crop
"agriculture land","Energy crops, herbaceous",Miscanthus,55113,"Sawyer County",Wisconsin,"Lake States",1350.24,POLYSYS,"mature-market medium",70,12518.00,dt,16660000,208549880000,BTU,9.27,Pasture
"agriculture land","Agricultural residues","Wheat straw",55093,"Pierce County",Wisconsin,"Lake States",592.73,POLYSYS,emerging,70,0.00,dt,14892000,0,BTU,0.00,Crop
"agriculture land","Energy crops, herbaceous",Miscanthus,55035,"Eau Claire County",Wisconsin,"Lake States",645.2,POLYSYS,"mature-market high",70,5670.00,dt,16660000,94462200000,BTU,8.79,Pasture
"agriculture land","Agricultural residues","Oats straw",55053,"Jackson County",Wisconsin,"Lake States",1000.48,POLYSYS,"mature-market medium",70,0.00,dt,14892000,0,BTU,0.00,Crop
"agriculture land","Agricultural residues","Oats straw",55095,"Polk County",Wisconsin,"Lake States",956.41,POLYSYS,"mature-market medium",70,0.00,dt,14892000,0,BTU,0.00,Crop
"agriculture land","Energy crops, herbaceous",Miscanthus,55081,"Monroe County",Wisconsin,"Lake States",908.08,POLYSYS,"mature-market low",70,6111.00,dt,16660000,101809260000,BTU,6.73,Pasture
"agriculture land","Agricultural residues","Corn stover",55033,"Dunn County",Wisconsin,"Lake States",863.89,POLYSYS,emerging,70,86139.00,dt,15722000,1354277358000,BTU,99.71,Crop
"agriculture land","Agricultural residues","Corn stover",55015,"Calumet County",Wisconsin,"Lake States",397.08,POLYSYS,"mature-market medium",70,0.00,dt,15722000,0,BTU,0.00,Crop
"agriculture land","Energy crops, herbaceous",Miscanthus,55011,"Buffalo County",Wisconsin,"Lake States",709.59,POLYSYS,"mature-market high",70,6721.00,dt,16660000,111971860000,BTU,9.47,Pasture
"agriculture land","Energy crops, woody",Poplar,55111,"Sauk County",Wisconsin,"Lake States",849.19,POLYSYS,emerging,70,547.00,dt,16904000,9246488000,BTU,0.64,Pasture
"agriculture land","Agricultural residues","Oats straw",55115,"Shawano County",Wisconsin,"Lake States",909.4,POLYSYS,"mature-market medium",70,0.00,dt,14892000,0,BTU,0.00,Crop
"agriculture land","Agricultural residues","Corn stover",55071,"Manitowoc County",Wisconsin,"Lake States",594.62,POLYSYS,"mature-market medium",70,0.00,dt,15722000,0,BTU,0.00,Crop
"agriculture land","Agricultural residues","Corn stover",55013,"Burnett County",Wisconsin,"Lake States",880.22,POLYSYS,"mature-market medium",70,22130.00,dt,15722000,347927860000,BTU,25.14,Crop
"agriculture land","Intermediate oilseeds",Pennycress,55041,"Forest County",Wisconsin,"Lake States",1046.52,POLYSYS,"mature-market high",400,316.64,dt,23288300,7374007312,BTU,0.30,Crop
